date,pm25,pm10,no2,so2,o3,co,station,lat,lon,split,t2m,blh,u10,v10,sp,tp,msdwswrf,rh,wind_speed,vi
2023-11-10,45.41666666666666,134.83333333333334,2.755208333333333,46.03090277777778,74.74687499999999,1.408368055555555,city center gwalior India,26.2037247,78.1573628,train,302.2178653,443.9698873,1.139329543,-0.515827017,98453.21964,0.0,221.8780022,56.07108428,1.2506595536035003,555.2551810640143
2023-12-10,58.239583333333336,150.81944444444443,2.8312500000000003,24.98472222222222,84.69375000000001,0.7641666666666667,city center gwalior India,26.2037247,78.1573628,train,301.3562144,600.6876335,0.255948434,0.283513154,98604.49676,0.0,239.609366,53.77488886,0.3819545907016697,229.4353991930471
2023-10-13,46.40625,132.03125,2.857291666666667,22.217361111111117,67.553125,0.6797916666666666,city center gwalior India,26.2037247,78.1573628,train,301.621542,603.0005878,1.122566505,0.121560182,98615.72541,0.0,235.6806071,51.47832782,1.1291290608233358,680.8654873785333
2023-10-14,36.88541666666666,110.1527777777778,2.859375,20.541666666666668,65.14999999999999,0.62875,city center gwalior India,26.2037247,78.1573628,train,302.1467409,565.1189483,1.298567993,-0.220826707,98530.85986,0.0,209.6925036,52.45890941,1.3172104110462048,744.380562180242
2023-10-15,44.4375,114.48611111111111,2.836458333333333,24.31423611111111,62.059375,0.7435416666666667,city center gwalior India,26.2037247,78.1573628,train,301.7695385,518.0877486,1.236325514,-0.367763467,98373.75538,0.0,181.1717285,54.50796158,1.2898646224419152,668.263058239721
2023-10-16,41.645833333333336,110.28819444444446,2.848958333333333,22.891666666666666,55.865625,0.7004861111111111,city center gwalior India,26.2037247,78.1573628,train,300.3075354,534.2105884,0.144690495,-0.512173735,98551.01127,8.82e-05,197.2024091,56.84809126,0.5322191974808831,284.31713064403834
2023-10-17,21.416666666666668,58.79513888888889,2.8364583333333333,25.000694444444445,62.259375,0.7644444444444444,city center gwalior India,26.2037247,78.1573628,train,297.5284921,355.8326916,-0.859123685,0.081220169,98829.21344,0.000865328,203.5295777,72.74590992,0.8629543568349185,307.0673715205159
2023-10-18,56.13541666666666,118.7534722222222,2.8875,27.627430555555552,44.446875000000006,0.8452777777777779,city center gwalior India,26.2037247,78.1573628,train,297.9945607,376.5844852,1.106767203,-1.677252432,98867.68522,1.35e-06,208.8767812,68.23382362,2.009504755477418,756.7483138484155
2023-10-19,66.86458333333333,144.38888888888889,2.790625,23.959027777777777,42.375,0.7316319444444445,city center gwalior India,26.2037247,78.1573628,train,298.1524663,448.4736599,-0.065463471,-0.797613652,98864.89929,0.0,229.2849992,60.6248696,0.8002955728305292,358.91148454907443
2023-10-20,76.41666666666667,159.59375,2.805208333333333,32.32673611111111,57.806250000000006,0.9886805555555556,city center gwalior India,26.2037247,78.1573628,train,298.7996537,440.1691367,-0.624875701,-0.769623837,98883.71474,0.0,220.4452619,61.31596021,0.9913579031706178,436.36515239933306
2023-10-21,67.72916666666667,148.44791666666666,2.765625,28.41944444444444,77.61250000000001,0.8690625000000001,city center gwalior India,26.2037247,78.1573628,train,298.5151005,474.4382052,-0.846431765,0.129201259,98933.13028,0.0,215.4334061,61.91991117,0.8562357725114037,406.2309631383459
2023-10-22,75.5,153.51388888888889,2.828125,28.447569444444444,91.609375,0.8709722222222224,city center gwalior India,26.2037247,78.1573628,train,298.6342057,464.7345765,-0.200190169,-0.120992809,98919.1291,0.0,219.3624057,59.70725058,0.2339131539566747,108.70753054183456
2023-10-23,102.85416666666669,189.70833333333331,2.8302083333333337,19.882986111111112,93.596875,0.6073611111111111,city center gwalior India,26.2037247,78.1573628,train,298.495882,488.1063918,-0.122387614,-0.709941023,98779.05595,0.0,207.2132874,58.49520547,0.7204130649834853,351.63822175466794
