station,date,lat,lon,elevation,doy,pm25,pm10,no2,so2,o3,co,u10,v10,t2m,blh,rh,ventilation_index,lag_PM25_D1,lag_PM25_D2,lag_AOD_D1,lag_NO2_D1,lag_CO_D1,split
mahakaleshwar temple ujjain India,2024-01-13,23.1817124,75.7703821,498.0,13,60.16666666666666,94.42708333333331,21.49416666666666,7.31875,71.76625,1.1308333333333334,1.167267881,0.025882273,293.9670687,498.5896407,70.82200732,582.1307254680877,,,0.14562496542930603,1.92309234989807e-05,0.0394146665930748,train
mahakaleshwar temple ujjain India,2024-01-14,23.1817124,75.7703821,498.0,14,62.40625,93.78125,19.62625,5.567142857142858,46.54500000000001,1.2995833333333335,1.59489708,-0.755967399,292.05432,366.73882,66.4046018,647.2896958081284,60.16666666666666,,0.22962775826454163,2.248181408504024e-05,0.030328989028930664,train
mahakaleshwar temple ujjain India,2024-01-15,23.1817124,75.7703821,498.0,15,66.66666666666667,95.63541666666669,20.20125,6.80375,41.651250000000005,1.3516666666666666,-1.584433543,-0.840733293,291.2086308,365.6060921,69.13909351,655.7777037989275,62.40625,60.16666666666666,0.1869041919708252,1.931711085489951e-05,0.025311816483736038,train
mahakaleshwar temple ujjain India,2024-01-16,23.1817124,75.7703821,498.0,16,85.3125,117.13541666666669,29.75916666666667,6.132916666666667,65.54875000000001,1.4425,0.186008001,1.129116374,291.6349821,397.1485345,68.66628798,454.4709977695066,66.66666666666667,62.40625,0.14135794341564178,3.0560815503122285e-05,0.027035510167479515,train
mahakaleshwar temple ujjain India,2024-01-17,23.1817124,75.7703821,498.0,17,99.9375,127.34375,29.3225,7.204583333333335,81.49125000000001,1.6541666666666668,0.799955413,-0.394092897,291.1609021,441.0731303,65.58868371,393.3318635120914,85.3125,66.66666666666667,0.1508941352367401,3.055335400858894e-05,0.029367411509156227,train
mahakaleshwar temple ujjain India,2024-01-18,23.1817124,75.7703821,498.0,18,65.54166666666667,88.94791666666667,15.641666666666667,7.58875,84.135,1.0291666666666666,-2.203135206,-1.628028601,291.1199323,528.816534,64.52640029,1448.637069514789,99.9375,85.3125,0.3418409824371338,4.257342152413912e-05,0.040145568549633026,train
mahakaleshwar temple ujjain India,2024-01-19,23.1817124,75.7703821,498.0,19,52.739583333333336,80.54166666666667,17.101666666666667,7.276666666666666,90.87875,1.04875,-2.203095968,-1.292998685,290.0226778,468.8252208,59.59981231,1197.6146866537897,65.54166666666667,99.9375,0.21948257088661194,2.4594975911895745e-05,0.03909534215927124,train
mahakaleshwar temple ujjain India,2024-01-20,23.1817124,75.7703821,498.0,20,73.72916666666667,91.9375,16.118333333333336,6.596666666666667,95.96625000000002,1.0929166666666663,-1.179114737,-1.880710336,289.1886878,425.4986193,63.30486084,944.5094610156208,52.739583333333336,65.54166666666667,0.2227327972650528,2.730014966800809e-05,0.03684358671307564,train
mahakaleshwar temple ujjain India,2024-01-21,23.1817124,75.7703821,498.0,21,75.88541666666667,100.0625,18.8375,7.353750000000001,75.3425,1.03125,-1.206438334,-1.775859531,287.9042385,328.0823315,58.58074149,704.3592635245765,73.72916666666667,52.739583333333336,0.9099352359771729,0.0,0.03911340981721878,train
mahakaleshwar temple ujjain India,2024-01-22,23.1817124,75.7703821,498.0,22,59.92857142857143,79.45238095238095,20.829583333333336,17.633333333333333,100.81125000000002,1.0679166666666666,-1.570419645,-0.983029161,289.1028464,372.6452068,57.97480751,690.4065028939249,75.88541666666667,73.72916666666667,0.23929472267627716,3.178070255671628e-05,0.0,train
