date,station,t2m,blh,u10,v10,sp,tp,msdwswrf,rh
02/10/2023,63,299.469623,439.7609913,3.46945209,0.024257889,94360.60612,0.000230251,136.2184744,80.89217797
02/10/2023,64,301.5140346,465.3252469,1.948341825,-1.113798436,97092.35593,0.009132825,150.1723869,82.44464845
02/10/2023,65,298.311506,810.9732817,3.873285226,-0.090466084,91473.28427,6.17E-05,250.715832,68.49385758
02/10/2023,66,299.6149419,429.4543333,3.249381661,0.036294418,94395.20398,0.00017621,140.0831162,79.99972309
02/10/2023,67,300.2464643,614.3352876,0.814496304,-2.600749595,94978.45431,0,255.8067671,56.99572488
02/10/2023,68,300.9857868,288.5595027,0.905841794,-2.248376343,98094.49972,0,231.8533818,64.13206978
02/10/2023,69,300.6403982,594.8017144,0.147839004,-2.920331797,95028.13653,0.000144959,205.3958844,69.42539075
02/10/2023,70,298.0904854,646.041568,3.987084979,0.153070732,94275.75235,0.000661577,229.8718042,80.21065084
02/10/2023,71,299.6230711,500.5273206,1.341562403,-0.904232242,94262.24169,0,254.6228892,55.6542384
02/10/2023,72,302.4694214,645.3210996,-3.760003157,0.624503168,99974.54867,0.011271679,167.727831,84.79788443
02/10/2023,73,297.506032,352.1093187,0.07530625,-0.235997969,91783.15174,0.000979802,202.00469,78.65914793
02/10/2023,74,299.9689867,525.0600363,0.910529363,-2.40167233,98193.03552,0,245.0525187,50.48555405
02/10/2023,75,301.148808,380.7881593,1.028960733,-1.156734132,97709.56722,0,195.691755,67.11823245
02/10/2023,76,298.1305548,776.3027819,3.776330484,0.60827607,92649.7831,0.000394453,226.0077649,74.07052547
02/10/2023,77,301.7557525,620.6751268,-3.403876969,-0.909554622,99821.37736,0.028059379,119.5290017,88.59804338
02/10/2023,78,302.519639,559.124523,-4.008843759,-0.150648155,99904.48283,0.029562705,168.8049242,84.9996346
02/10/2023,79,300.0905173,598.6248461,0.956316171,-2.069248183,95141.72836,0,258.0086145,59.09748011
02/10/2023,80,300.9857868,288.5595027,0.905841794,-2.248376343,98094.49972,0,231.8533818,64.13206978
02/10/2023,81,302.4694214,645.3210996,-3.760003157,0.624503168,99974.54867,0.011271679,167.727831,84.79788443
02/10/2023,82,301.6517159,304.4332184,0.6768946,-0.736610493,97584.27869,0,252.7358753,59.4901522
02/10/2023,83,301.5945136,442.8997535,1.216905359,-0.310971318,97445.15212,0,251.8240402,53.0759804
02/10/2023,84,300.347627,509.799632,1.663417598,-1.574456287,97707.97634,0,243.8476773,59.82506758
02/10/2023,85,299.1503165,472.7176481,0.957266415,-2.51823148,98143.19103,0,246.1654804,55.04803857
02/10/2023,86,301.2544928,541.9663129,2.004665663,-0.917781334,96169.11353,0,253.8290777,48.30954624
02/10/2023,87,299.105439,470.0939578,1.50978188,-2.482779689,96217.72979,0.035365884,55.5178036,92.17507147
02/10/2023,88,298.73873,406.4887013,1.60642557,-1.306982901,97841.55797,0,241.6224993,66.53241054
02/10/2023,89,302.8997128,657.5634693,2.267317316,4.670359241,100614.0254,0.000277964,257.2881381,76.33498229
02/10/2023,90,301.3114658,339.3765299,0.868355031,-1.201603756,96912.82356,0,252.1917335,61.20463343
02/10/2023,91,301.0552693,289.7186592,-0.515353137,-1.119175343,97586.13726,0,251.5573303,54.94162293
02/10/2023,92,299.6007868,455.5025503,0.777286482,-1.358127246,95841.45529,3.04E-07,229.0861933,64.64226299
02/10/2023,93,299.8577422,461.9606399,0.879938158,-1.433799026,96442.79156,0,231.2692405,63.81954306
02/10/2023,94,299.7000646,458.8823585,2.225482592,-1.453360496,97830.18126,0,246.7147194,57.56396411
02/10/2023,95,300.8040783,523.2517057,1.058541452,-1.584615119,95784.32256,0,254.5745561,52.14237754
02/10/2023,96,297.2660669,341.5957797,0.109210099,-0.306149795,91420.40233,0.000362071,206.321848,77.14210581
02/10/2023,97,300.2966258,562.0549625,0.006173707,-2.981204653,95863.7371,0.012479049,167.74253,85.40147091
